country,sex,bc_cate,edu2,total_n,childless_n,never_in_union_n
Cameroon,Men,1970-1979,Low,544.809024579823,27.180752098560333,15.423518121242523
Cameroon,Men,1970-1979,NA,0.9974740147590637,0,NA
Cameroon,Men,1980-1989,High,244.3345282971859,27.608059719204903,14.872622728347778
Cameroon,Men,1980-1989,Low,316.13892249017954,26.739097952842712,21.54837393760681
Cameroon,Women,1950-1959,High,172.95217296481133,5.993241041898727,0
Cameroon,Women,1950-1959,Low,158.56952757388353,4.232191979885101,0
Cameroon,Women,1960-1969,High,503.4006650671363,12.946887075901031,3.788798004388809
Cameroon,Women,1960-1969,Low,391.5669186785817,13.061059951782227,2.498267948627472
Cameroon,Women,1970-1979,High,1205.5288939327002,46.31804025173187,11.234263062477112
Cameroon,Women,1970-1979,Low,888.0363274440169,25.631342887878418,0
Cameroon,Women,1980-1989,High,464.2319577485323,28.25341783463955,18.65239877998829
Cameroon,Women,1980-1989,Low,768.2035721987486,23.737516850233078,11.194273889064789
Canada,Men,1920-1929,High,46964.07740020752,10156.146842956543,226.80680084228516
Canada,Men,1920-1929,Low,38879.38126373291,2916.9526596069336,863.5988998413086
Canada,Men,1920-1929,NA,110820.73580932617,19172.956832885742,1110.298812866211
Canada,Men,1930-1939,High,386568.8866119385,50763.541034698486,14213.193256378174
Canada,Men,1930-1939,Low,387763.3942756653,46433.87503051758,6293.922958374023
Canada,Men,1930-1939,NA,914516.7411346436,146502.06881713867,35134.53679275513
Canada,Men,1940-1949,High,990596.5195884705,186775.37685394287,15936.872901916504
Canada,Men,1940-1949,Low,916674.96824646,139367.77376174927,20377.297367095947
Canada,Men,1940-1949,NA,1262387.00522995,235775.21822357178,42338.67878341675
Canada,Men,1950-1959,High,1809637.2234153748,353518.537776947,65780.05490875244
Canada,Men,1950-1959,Low,1418636.3026351929,241253.19065856934,41349.70137023926
Canada,Men,1950-1959,NA,1558126.8461151123,330217.7877960205,102696.95048522949
Canada,Men,1960-1969,High,1773863.666519165,421397.6767272949,116548.36569976807
Canada,Men,1960-1969,Low,1843151.4626846313,426914.2009277344,116955.33381652832
Canada,Men,1960-1969,NA,1567778.2812652588,404214.3302536011,103982.6303100586
Canada,Men,1970-1979,High,523523.21646118164,138948.43208312988,36226.98959350586
Canada,Men,1970-1979,Low,865324.9955825806,208430.88983154297,63900.1827545166
Canada,Men,1970-1979,NA,455427.4990234375,145013.3985748291,56107.171478271484
Canada,Women,1920-1929,High,39167.45138549805,6983.970001220703,4365.654602050781
